lab,condition,condition_family,n_models,n_valid,owned_rate_model_mean,relocated_or_partial_rate_model_mean,recited_not_owned_rate_model_mean,indeterminate_rate_model_mean,uncodeable_rate_model_mean,owned_rate_sample_weighted,relocated_or_partial_rate_sample_weighted,recited_not_owned_rate_sample_weighted,indeterminate_rate_sample_weighted,uncodeable_rate_sample_weighted
MiniMax,G1,cache_broken_stated_values,2,149,47.538314176245215,17.519157088122604,34.94252873563218,0.0,0.0,44.29530201342282,16.10738255033557,39.59731543624161,0.0,0.0
MiniMax,G2,cache_broken_stated_values,2,149,18.113026819923373,20.593869731800766,61.293103448275865,0.0,0.0,16.10738255033557,18.79194630872483,65.1006711409396,0.0,0.0
MiniMax,G3,world_change_prompts,2,150,89.16666666666666,9.444444444444445,1.3888888888888888,0.0,0.0,90.0,8.666666666666668,1.3333333333333335,0.0,0.0
Moonshot AI,CTRL1,direct_stated_values,5,100,12.0,52.833333333333336,35.166666666666664,0.0,0.0,15.0,49.0,36.0,0.0,0.0
Moonshot AI,CTRL2,direct_stated_values,5,100,8.5,4.0,87.5,0.0,0.0,17.0,5.0,78.0,0.0,0.0
Moonshot AI,CTRL3,world_change_prompts,5,100,97.33333333333334,2.666666666666667,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0
Moonshot AI,G1,cache_broken_stated_values,5,300,80.5,19.055555555555554,0.22222222222222224,0.22222222222222224,0.0,78.0,21.333333333333336,0.33333333333333337,0.33333333333333337,0.0
Moonshot AI,G2,cache_broken_stated_values,5,300,50.38888888888889,32.05555555555556,12.666666666666668,4.888888888888888,0.0,64.66666666666666,25.0,7.000000000000001,3.3333333333333335,0.0
Moonshot AI,G3,world_change_prompts,5,300,96.22222222222223,3.1111111111111116,0.0,0.0,0.6666666666666667,97.0,2.666666666666667,0.0,0.0,0.33333333333333337
OpenAI,CTRL1,direct_stated_values,13,150,7.6923076923076925,6.153846153846154,86.15384615384616,0.0,0.0,6.666666666666667,5.333333333333334,88.0,0.0,0.0
OpenAI,CTRL2,direct_stated_values,13,150,17.692307692307693,0.7692307692307693,81.53846153846153,0.0,0.0,19.333333333333332,0.6666666666666667,80.0,0.0,0.0
OpenAI,CTRL3,world_change_prompts,13,150,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
OpenAI,G1,cache_broken_stated_values,13,450,4.102564102564103,33.333333333333336,62.3076923076923,0.0,0.25641025641025644,3.5555555555555554,33.111111111111114,63.11111111111111,0.0,0.2222222222222222
OpenAI,G2,cache_broken_stated_values,13,450,11.923076923076925,31.666666666666668,56.410256410256416,0.0,0.0,10.888888888888888,33.33333333333333,55.77777777777778,0.0,0.0
OpenAI,G3,world_change_prompts,13,450,94.87179487179486,3.5897435897435894,1.0256410256410258,0.0,0.5128205128205129,95.55555555555556,3.111111111111111,0.8888888888888888,0.0,0.4444444444444444
Qwen,CTRL1,direct_stated_values,2,20,20.0,30.0,50.0,0.0,0.0,20.0,30.0,50.0,0.0,0.0
Qwen,CTRL2,direct_stated_values,2,20,0.0,30.0,70.0,0.0,0.0,0.0,30.0,70.0,0.0,0.0
Qwen,CTRL3,world_change_prompts,2,20,90.0,5.0,5.0,0.0,0.0,90.0,5.0,5.0,0.0,0.0
Qwen,G1,cache_broken_stated_values,2,60,50.0,13.333333333333334,35.0,1.6666666666666667,0.0,50.0,13.333333333333334,35.0,1.6666666666666667,0.0
Qwen,G2,cache_broken_stated_values,2,60,50.0,5.0,38.333333333333336,6.666666666666667,0.0,50.0,5.0,38.333333333333336,6.666666666666667,0.0
Qwen,G3,world_change_prompts,2,60,93.33333333333334,6.666666666666667,0.0,0.0,0.0,93.33333333333333,6.666666666666667,0.0,0.0,0.0
